,City,Latitude,Temperature (F),Wind Speed (mph),Cloudiness (%),Humidity (%)
0,Kapaa,22.08,75.36,10.29,1,53
2,Flinders,-34.58,58.77,17.22,0,50
3,Upernavik,72.79,11.17,9.19,20,89
4,Jamestown,-33.21,58.87,9.42,68,91
5,Carnarvon,-30.97,58.51,3.83,80,29
6,Saint-Philippe,45.36,38.53,9.17,90,74
7,Port Elizabeth,39.31,64.31,6.93,1,55
9,Chuy,-33.69,69.94,1.92,88,93
10,Concordia,-31.4,73,11.99,68,96
11,Rikitea,-23.12,78.13,17.47,92,100
12,Albany,42.65,60.96,12.75,75,34
13,La Paz,24.15,80.8,13.87,75,22
14,Kruisfontein,-34,59.77,6.4,68,82
15,Geraldton,49.72,21.2,13.87,20,37
16,Mataura,-46.19,73,3,0,64
18,Baoding,38.86,38.62,3.6,0,36
20,Nara,34.68,49.51,25.28,20,61
21,Adre,13.47,66.61,9.98,0,18
22,Avarua,-21.21,77,13.87,80,83
23,Lae,-6.72,80.6,5.82,40,83
24,Bredasdorp,-34.53,64.83,2.24,80,77
25,Bathsheba,13.22,80.6,11.41,40,74
26,Okha,53.59,10.63,7.85,32,99
27,Lebu,8.96,64.4,6.93,75,42
28,Pangnirtung,66.15,8.6,9.17,90,78
30,Norman Wells,65.28,41,3.36,20,48
31,Klaksvik,62.23,32,1.12,44,100
32,Punta Arenas,-53.16,52.45,17.22,75,71
33,Coihaique,-45.58,60.8,19.46,0,51
34,Provideniya,64.42,33.22,14,76,92
36,Ushuaia,-54.81,50,21.92,75,66
37,Pleshanovo,57.46,46.4,11.18,0,65
38,East London,-33.02,71.56,11.65,64,100
39,Ayagoz,47.96,38.26,5.5,92,99
40,Pontianak,-0.02,75.2,3.36,20,94
41,Hithadhoo,-0.6,83.98,7.07,24,100
42,Kavaratti,10.57,83.89,6.96,0,100
43,Bluff,-23.58,63.19,12.33,0,85
44,Hermanus,-34.42,62.01,2.71,88,96
45,Hobart,-42.88,53.31,13.87,40,66
46,Puerto Ayora,-0.74,82.4,12.75,40,70
47,Kodiak,39.95,41.59,16.11,75,17
48,Zamania,25.42,71.29,4.05,0,64
49,Faanui,-16.48,83.62,2.15,8,100
50,Egvekinot,66.32,30.34,10.42,76,92
51,Krutikha,53.96,28.72,5.95,36,87
52,Ixtapa,20.71,78.03,11.41,5,69
53,San Quintin,17.54,78.76,3.94,0,65
54,Busselton,-33.64,60.84,18.25,64,31
55,Salalah,17.01,78.8,4.7,20,74
56,Tommot,58.97,15.49,2.93,88,79
57,Sigli,5.38,76.33,5.06,32,97
58,Saint-Augustin,44.83,51.82,5.82,0,54
59,New Norfolk,-42.78,53.31,13.87,40,66
60,Georgetown,6.8,82.4,13.87,20,78
61,Kaeo,-35.1,64.99,16.24,92,95
62,Hilo,19.71,75.06,12.75,1,65
63,Noboribetsu,42.42,35.42,3.36,75,77
64,San Rafael,-34.61,67.6,5.39,20,53
65,Victoria,5.28,78.37,4.38,75,94
66,Port Hawkesbury,45.62,35.8,8.05,90,100
67,Igarka,67.47,30.7,17.81,92,96
69,Teavaro,-17.5,88.41,5.82,20,66
71,Butaritari,3.07,83.62,23.29,20,100
72,Chokurdakh,70.62,17.74,8.19,48,97
73,Barrow,-38.31,65.53,9.08,0,75
74,Cape Coast,5.11,77.41,4.61,12,91
75,Mar del Plata,-46.43,60.67,6.96,0,49
76,Sitka,37.17,43,15.99,0,56
77,Coari,-4.09,78.4,5.61,8,91
78,Vaini,15.34,66.97,1.92,32,88
79,Tuktoyaktuk,69.44,26.6,14.99,75,79
80,Venado Tuerto,-33.75,73.99,1.99,92,44
81,Matadi,-5.83,77.59,0.69,76,94
82,Tasiilaq,65.61,19.4,5.82,68,73
83,Aswan,24.09,53.29,6.62,8,60
84,Boyuibe,-20.43,84.2,14.23,20,66
85,Onverwacht,5.59,83.52,9.17,20,55
86,Port Alfred,-33.59,67.6,9.64,64,97
87,Bilibino,68.06,8.83,3.15,68,75
88,Ketchikan,55.34,45.84,5.82,1,75
90,Codrington,-28.95,65.26,8.05,0,42
91,Puerto Asis,0.51,75.34,2.15,20,89
92,Morondava,-20.3,78.13,6.06,0,91
93,Cherdyn,60.4,28.9,10.31,24,75
94,Marsa Matruh,31.35,53.2,21.27,92,68
95,Sechura,-5.56,76.96,11.43,0,71
96,Talnakh,69.49,30.79,16.91,92,91
97,Puerto Leguizamo,-0.19,77.59,2.26,88,89
98,Khatanga,71.98,13.6,7.74,0,57
99,Hobyo,5.35,78.58,10.42,88,88
101,Cranbrook,49.51,55.9,3.36,40,24
102,Ribeira Grande,38.52,58.51,22.28,8,100
103,Polunochnoye,60.87,27.64,11.77,24,73
104,Qaqortoq,60.72,26.6,21.92,64,86
105,Tuatapere,-46.13,73,3,0,64
106,Kondinskoye,59.65,31.06,14.23,92,78
107,Kaitangata,-46.28,64,13,0,76
108,Constitucion,23.99,80.76,4.7,75,4
109,Cassilandia,-19.11,76.96,5.95,48,61
110,Sambava,-14.27,79.39,5.39,24,100
111,Hami,42.84,37,3.49,0,62
112,Estevan,49.14,44.74,12.75,40,45
113,Rocha,-34.48,66.88,0.69,36,93
114,Fairbanks,64.84,39.27,4.61,20,64
115,Cape Town,-33.93,63.48,11.41,75,77
116,Arrifes,37.77,55.17,18.34,20,82
117,Alto Paraguai,-14.51,76.78,2.59,8,90
118,Zhaoyuan,45.52,33.67,5.06,12,39
119,Mount Gambier,-37.83,55.4,8.05,75,93
120,Namalenga,-10.95,69.94,2.59,80,97
121,Sibu,2.29,73.15,3.94,75,100
122,Praia,-20.25,73.26,8.05,0,60
123,Verkhniy baskunchak,48.23,22.96,3.94,0,66
125,Honningsvag,70.98,30.97,14.67,68,98
126,Comodoro Rivadavia,-45.87,66.2,8.05,0,48
128,Beeville,28.4,66.58,17.22,90,60
130,Sioux Lookout,50.1,27.55,6.93,90,45
131,Zhezkazgan,47.8,40.06,9.86,64,92
132,Miram Shah,33.01,39.52,3.38,0,54
133,Bemidji,47.48,27.64,14.99,75,58
134,Mwene-Ditu,-7.01,68.68,2.93,24,97
135,Bara,10.41,76.6,7.63,0,33
136,Yaan,7.38,81.64,10.87,20,74
137,Marzuq,14.4,45.46,2.37,0,80
138,Impfondo,1.62,72.19,2.59,0,99
139,Namibe,-15.19,80.02,14.45,100,94
141,Dikson,73.51,27.91,27.98,88,98
142,Camacha,33.08,60.8,13.87,40,67
143,Tiksi,71.64,18.37,8.41,8,69
144,Saskylakh,71.97,8.02,3.6,12,66
145,Moissac,44.11,47.73,4.7,0,76
146,Kahului,20.89,75.97,13.87,40,61
147,Yellowknife,62.45,32.34,16.11,40,86
148,Izhma,65.01,28.81,7.96,88,75
149,Atuona,-9.8,82.54,10.98,80,100
150,Muros,42.77,48.88,1.12,20,87
151,Souillac,45.6,50.49,3.36,0,54
152,Clyde River,70.47,1.4,26.4,75,91
153,Augustow,53.84,44.49,12.21,24,94
154,Isiro,2.77,69.4,3.49,20,91
155,Slave Lake,55.28,42.8,10.29,1,56
157,Takoradi,4.89,81.1,6.73,64,100
158,Ponta do Sol,-20.63,66.97,3.38,0,74
159,Bethel,60.79,42.69,10.29,1,79
160,Bougouni,11.42,75.52,5.17,48,81
162,Qaanaaq,77.48,-8.9,6.73,8,79
163,Nikolskoye,59.7,38.52,2.24,90,80
164,Buala,-8.15,86.86,5.39,8,80
165,Abai,41.35,51.8,4.7,44,81
166,Liberia,10.63,83.86,9.17,20,36
167,Vila do Maio,15.13,69.8,18.34,20,68
168,Mahebourg,-20.41,75.61,3.36,20,88
169,Manjeshwar,12.72,78.8,3.49,40,88
170,Deputatskiy,69.3,11.44,3.94,0,72
171,Coquimbo,-29.95,60.8,1.12,90,77
172,Dolores,-33.53,71.92,4.72,68,91
173,Pevek,69.7,8.56,3.6,44,100
174,Develi,38.39,41.49,18.34,75,92
175,Ostrovnoy,68.05,26.56,20.71,20,84
176,Mushie,-3.02,75.7,2.82,8,96
178,Bayangol,48.91,14.59,2.82,0,59
179,Asyut,27.18,57.52,11.21,20,44
180,Tamasane,-22.42,70.39,8.75,0,68
181,Cockburn Town,21.46,76.42,7.96,0,100
183,Hambantota,6.12,80.02,3.49,0,100
185,San Patricio,-26.98,76.78,2.93,12,75
186,Saldanha,41.42,49.96,2.26,88,54
187,Susuman,62.78,16.84,3.6,0,71
188,Myre,62.25,33.96,5.82,48,70
189,Port Blair,11.67,82.63,7.07,0,100
190,Jalu,29.03,53.65,12.77,0,57
191,Tual,-5.67,81.64,8.3,32,100
192,Christchurch,-43.53,67.01,13.87,0,82
193,Iqaluit,63.75,5,3.36,75,65
194,Kenai,60.55,46.98,6.93,1,49
195,Nome,30.04,64.45,14.99,90,83
196,Bubaque,11.28,85.06,21.27,0,82
197,Thompson,55.74,33.8,8.05,75,43
198,Erenhot,43.65,20.8,4.61,20,64
199,Hamilton,43.26,37.9,10.29,90,86
200,Okhotsk,59.36,27.64,5.28,0,73
201,Gondanglegi,-7.75,73.36,4.16,8,95
202,Iralaya,15,82.4,4.7,5,54
203,Pacific Grove,36.62,66.76,16.11,1,59
204,Moron,10.49,74.62,2.37,68,81
205,Tumbagaan,5.37,80.74,8.41,8,100
206,Leander,30.56,57.24,14.99,1,50
207,Zhuhai,40.71,19.4,4.47,0,44
208,Castro,-42.48,66.2,5.82,12,68
209,Umm Lajj,25.02,63.01,9.75,0,97
210,Pendleton,34.65,69.24,6.93,40,43
211,Gimli,50.63,34.3,5.01,64,44
213,Prieska,-29.67,67.69,4.38,88,31
214,Kysyl-Syr,63.9,15.4,2.59,0,74
215,Kattivakkam,13.22,82.4,5.82,20,88
216,Busko-Zdroj,50.47,43.23,4.61,0,80
217,Hailey,43.52,40.53,3.36,40,60
218,Laukaa,62.42,30.09,5.84,90,86
219,Luderitz,-26.65,64.36,12.88,0,85
220,Tevriz,57.51,30.07,8.86,12,88
221,Liverpool,53.41,45.37,5.82,75,87
222,Luanda,-8.83,80.6,4.7,40,88
223,Vardo,39.62,70.88,9.17,1,35
224,Kumluca,36.37,32.14,1.59,88,95
225,Belaya Gora,68.54,12.34,4.27,0,92
226,Bowen,-20.01,81.68,4.7,88,88
227,Champerico,16.38,96.8,8.05,20,23
228,Yarmouth,50.71,47.01,9.17,48,81
230,Coolum Beach,-26.53,67.48,3,0,51
232,Nioaque,-21.16,80.29,6.96,0,53
233,Faya,18.39,63.54,8.05,0,45
234,Lebowakgomo,-24.3,64.4,4.7,0,63
235,Dunedin,-45.87,60.01,7,0,86
236,Svetlogorsk,53.14,30.2,15.66,90,68
237,Umba,66.69,28.09,15.46,12,73
238,Cherskiy,68.75,11.8,3.27,36,81
239,Maniitsoq,65.42,19.27,13.22,80,97
240,Hasaki,35.73,46.18,1.12,75,93
242,Saint Anthony,43.97,44.71,4.94,75,42
243,Cidreira,-30.17,72.1,8.3,0,84
244,Chapada dos Guimaraes,-15.46,89.6,4.7,40,70
245,Airai,-8.93,75.34,1.7,0,75
246,Bambous Virieux,-20.34,75.6,3.36,20,88
247,Richmond,49.16,58.96,5.82,1,71
248,Kachiry,53.07,30.97,10.76,20,91
249,Acapulco,16.86,84.2,12.75,75,54
250,Shahrud,36.42,33.31,3.38,64,94
251,Meulaboh,4.14,79.03,1.03,92,100
252,Baraki Barak,33.97,15.94,1.92,0,67
253,Pisco,-13.71,73.45,4.94,8,73
254,Broome,52.47,46.58,5.82,20,87
255,Shaunavon,49.65,53.02,17.25,0,33
256,Havre-Saint-Pierre,50.23,24.8,8.05,90,58
257,Tezu,27.93,58.24,1.48,80,77
258,Westport,53.8,44.19,7.18,20,79
259,Rohnert Park,38.34,66.79,17.22,1,45
260,Udachnyy,66.42,22.24,4.61,48,87
261,Elliot,-31.33,49.42,1.36,48,59
262,Torbay,47.66,40.17,6.93,90,81
263,Saint-Francois,46.42,38.07,4.72,0,70
264,Kaura Namoda,12.59,74.62,4.16,0,48
265,Mahon,51.89,48.2,9.17,75,76
266,Arraial do Cabo,-22.97,76.69,8.19,88,92
267,Urubicha,-15.63,79.12,2.71,12,86
268,Bombay,44.94,48.9,10.29,90,100
269,Te Anau,-45.41,66.97,11.32,24,57
270,Ulladulla,-35.36,54.55,17.22,0,50
271,Hofn,64.25,31.42,6.62,68,100
274,Longyearbyen,78.22,8.6,6.93,0,55
275,Vila Franca do Campo,37.72,56.08,11.41,20,76
276,Governador Valadares,-18.85,75.97,10.09,56,65
277,Puxinana,-7.16,77,10.29,75,94
278,Padang,-0.92,76.51,1.03,92,100
279,Nemuro,43.32,31.06,18.59,92,100
280,Nanortalik,60.14,28.18,21.72,76,100
282,Samarai,-10.62,81.82,6.85,48,100
283,Sistranda,63.73,34.74,18.34,40,64
284,Angoche,-16.23,78.94,11.65,68,100
285,Baker City,44.77,54.19,3.36,20,35
286,Dourbali,11.81,80.29,12.66,0,17
287,Palmer,-34.85,62.67,14.99,75,63
288,Blackwater,51.33,49.06,6.93,88,71
289,Lompoc,34.64,70.63,14.99,1,56
291,Semnan,35.58,53.6,5.06,40,62
292,Kloulklubed,7.04,78.8,4.7,90,88
293,Potchefstroom,-26.71,61.57,4.83,12,57
294,Portoferraio,42.81,49.15,1.12,0,75
295,Qinzhou,21.96,73.36,7.07,92,99
296,Quatre Cocos,-20.21,75.56,3.36,20,88
297,De-Kastri,51.48,23.68,3.38,56,100
298,Guadalupe y Calvo,26.09,64.36,3.49,92,22
299,Talara,-4.58,62.6,9.31,0,290
300,Carupano,10.67,79.12,12.77,20,82
301,Vostok,46.45,29.98,1.59,56,73
302,Bratsk,56.15,26.29,4.47,88,49
303,San Cristobal,-0.39,56.59,11.41,75,76
304,Whitehorse,60.72,44.62,10.29,75,36
305,Aklavik,68.22,36.7,2.24,40,59
306,Singaparna,-7.35,68.41,2.37,92,99
307,Ilulissat,69.22,24.8,6.93,75,68
308,Avera,33.19,76.15,10.29,40,44
309,Esperance,10.24,79.2,11.41,20,83
310,Moroto,2.53,61.39,3.83,0,84
311,Noshiro,40.21,33.8,8.05,75,100
312,Severo-Kurilsk,50.68,30.34,12.77,80,97
313,Pathein,16.78,65.71,3.71,0,89
314,Pokosnoye,55.53,26.2,6.17,92,67
315,Maragogi,-9.01,78.49,4.05,92,97
316,Lavrentiya,65.58,33.94,21.94,48,92
317,Puyang,35.76,42.67,3.6,0,61
318,Okato,-39.19,75,8.99,8,54
320,Bavly,54.4,31.96,14.79,88,95
321,Finschhafen,-6.6,79.66,2.93,68,85
322,Belyy Yar,53.6,44.6,4.47,0,65
324,Bonthe,7.53,80.47,4.5,0,85
325,College,64.86,40.32,4.61,20,64
326,Manjacaze,-24.71,70.66,5.61,0,88
327,Lata,30.78,40.42,1.92,0,71
328,Chapais,49.78,24.8,6.93,90,92
329,Leningradskiy,69.38,11.26,2.59,88,100
330,Ladario,40.7,51.89,2.15,0,80
